,mfcc_mean_0,mfcc_var_0,mfcc_mean_1,mfcc_var_1,mfcc_mean_2,mfcc_var_2,mfcc_mean_3,mfcc_var_3,mfcc_mean_4,mfcc_var_4,mfcc_mean_5,mfcc_var_5,mfcc_mean_6,mfcc_var_6,mfcc_mean_7,mfcc_var_7,mfcc_mean_8,mfcc_var_8,mfcc_mean_9,mfcc_var_9,mfcc_mean_10,mfcc_var_10,mfcc_mean_11,mfcc_var_11,mfcc_mean_12,mfcc_var_12,gfcc_mean_0,gfcc_var_0,gfcc_mean_1,gfcc_var_1,gfcc_mean_2,gfcc_var_2,gfcc_mean_3,gfcc_var_3,gfcc_mean_4,gfcc_var_4,gfcc_mean_5,gfcc_var_5,gfcc_mean_6,gfcc_var_6,gfcc_mean_7,gfcc_var_7,gfcc_mean_8,gfcc_var_8,gfcc_mean_9,gfcc_var_9,gfcc_mean_10,gfcc_var_10,gfcc_mean_11,gfcc_var_11,gfcc_mean_12,gfcc_var_12,pitch_mean,pitch_var,pitch_median,gender
851,-883.8409,12048.4346,159.2526,5995.4199,-5.2592,848.6562,29.2708,1148.2988,6.6945,481.5709,-1.7737,440.7773,2.1197,197.3505,0.6671,198.5811,0.0183,146.1856,4.7295,159.3928,5.8457,180.666,-4.1289,191.2776,7.5801,109.1851,-125.8042,8171.4579,25.695,2310.4561,-60.5023,937.0414,7.0048,316.4245,-39.6624,324.6323,4.612,321.9013,-19.7904,141.9118,4.1658,188.1172,-15.6421,74.4931,-0.627,94.3533,-13.741,41.1991,1.8168,50.3793,-11.2682,53.5478,1326.8109,11961152.0,397.8369,male
852,-788.4175,14195.749,156.6581,4549.4863,31.8739,1363.5463,40.6626,1388.9434,-40.2283,1140.3772,23.7149,851.1945,-33.0308,664.241,19.2113,248.0559,-17.0183,306.0977,-1.91,198.5756,2.1754,138.1222,-14.4496,143.5917,16.0102,122.3789,-48.3783,9556.3114,8.7,1877.4044,-26.8246,1260.2452,-42.5081,587.9257,-31.0187,289.3392,-13.5478,259.8782,-18.7257,129.0344,-7.6967,144.5506,-17.1005,79.624,-0.2369,106.5264,-17.5196,82.2317,0.7325,53.8681,-10.9363,37.7487,1269.595,4742901.5,240.7479,male
853,-849.0829,3570.0754,189.4041,1934.9644,12.2493,342.7792,43.4162,404.9663,12.7225,243.1034,16.0103,141.2593,20.5729,135.6002,17.5437,73.5781,23.3651,89.2826,1.6463,135.9182,9.9818,133.4016,15.6299,57.8168,8.3009,68.7511,-75.6304,1880.8783,62.3481,390.8853,-22.4646,575.4315,26.9558,279.5485,-6.9389,212.4813,21.6886,131.6823,-3.3548,78.2075,5.9969,54.17,-7.5609,51.0073,9.2856,47.1664,-6.5532,41.8214,0.4216,40.5548,-1.4457,38.7081,10459.2627,110873776.0,2883.9189,male
854,-892.4777,14211.9248,144.919,5061.249,-9.0478,1436.7369,41.241,1240.071,2.7287,629.7684,6.5098,439.2452,15.6139,247.8103,-11.7227,282.851,10.1066,171.9166,2.4454,214.4154,-1.9649,238.8547,11.328,133.4125,2.1817,177.6883,-149.2644,11858.664,28.1499,1900.4752,-62.9561,847.6633,17.9091,292.7999,-43.8985,359.7005,10.6295,239.8523,-29.6594,138.534,8.4391,178.8643,-17.5971,113.2163,-4.8211,100.8627,-11.613,77.5929,-4.8777,77.2517,-0.8751,57.1191,1048.3557,4765341.0,450.3873,male
855,-843.1709,10974.7236,163.8846,5072.7769,-21.3673,752.1481,34.608,720.5677,-1.5463,289.834,1.6082,319.1055,2.7942,195.1309,-0.8282,157.1781,3.8163,174.5812,-1.5234,150.7334,7.7614,157.5513,-1.1502,187.7156,7.8,75.148,-95.0988,7160.7632,18.4081,1763.6288,-63.2959,738.1356,7.4216,248.6259,-38.7804,281.1302,6.5191,311.0203,-20.4791,136.1314,5.7488,180.1866,-15.5032,64.7636,0.8627,90.8628,-15.6507,49.9701,1.5955,60.2143,-9.2165,41.3763,713.4754,967765.5625,442.4184,male
856,-780.881,9913.1631,116.0356,3914.3022,-32.6325,1411.4567,53.4467,837.5173,-33.2934,667.5023,15.5428,611.9306,-24.7997,387.0197,13.2181,216.6774,-7.7485,271.5092,-7.2561,264.5514,16.7558,214.0111,-6.9901,153.785,9.415,79.4023,-58.7642,5654.4038,-36.8428,2381.7911,-49.0422,616.6034,-15.5346,251.3374,-39.4597,282.7306,-2.5178,172.3024,-17.2617,96.1832,-1.4512,133.2015,-15.2577,99.4005,-1.8274,125.6709,-21.5978,110.7697,3.2645,83.9606,-10.8627,54.6846,1550.078,2672676.25,621.2219,male
857,-767.1063,13720.7744,159.8063,4220.0762,19.7091,967.5681,36.5448,1301.1587,-42.1757,1190.0417,31.8259,787.5506,-28.6037,503.2818,21.0795,264.7846,-9.8311,282.0597,-1.3487,226.5443,-0.2642,170.5464,-9.1952,174.1372,16.8903,182.8552,-34.9261,8674.5094,5.2896,1849.8791,-31.8022,1175.4791,-37.3338,456.4736,-24.3535,293.2614,-10.8738,205.0787,-19.711,109.2945,-6.789,131.4521,-19.0605,96.4797,0.0295,93.0219,-16.2354,78.2337,-0.5667,58.7671,-8.289,49.9919,1183.4961,3776013.0,263.9721,male
858,-733.5859,6659.2153,214.6566,1161.2952,-7.6189,667.2233,48.2949,482.8174,-6.7011,579.799,4.8549,502.6807,-23.8326,575.0922,2.3184,166.5231,1.2671,146.6266,-0.7069,183.1382,0.2918,110.443,-3.9676,123.948,10.5766,113.272,-0.3995,3791.1392,44.0116,609.3954,-54.8177,528.8773,-10.9728,280.6365,-43.1876,492.029,-11.2105,163.1548,-12.2018,111.817,1.095,84.997,-16.1032,99.73,-0.1593,75.2183,-12.2295,73.0124,-2.1405,49.351,-7.3761,44.5048,460.4888,982218.0,172.0336,male
859,-818.5421,10714.4746,175.6711,3807.9688,-22.7182,2481.176,59.9715,1300.3008,2.3521,1025.1685,-5.4398,813.5339,6.4883,459.9659,-22.0503,533.24,11.3105,359.4809,1.9147,202.5523,-7.1195,265.5924,10.046,168.7647,0.4133,129.5238,-80.8331,7929.2232,32.886,2032.3182,-63.8047,1056.5035,15.7282,572.2106,-58.4055,505.9707,4.4637,348.9105,-26.4423,169.2007,7.2409,288.9198,-19.0661,116.4913,-6.6868,119.769,-9.6003,82.016,-7.6942,77.689,-2.3705,65.7006,913.0624,1774893.875,411.2476,male
860,-885.549,6341.6279,174.6171,3758.856,26.3728,750.5562,53.7841,673.7512,13.6897,311.7151,-1.8808,478.4207,0.0548,268.2446,-4.1976,134.2544,3.4634,166.413,-2.0995,137.6577,-0.5674,102.4923,-3.5334,71.4482,-2.3636,97.7632,-121.4853,4799.5912,47.2387,1680.026,-37.3675,558.7158,5.4876,282.0427,-49.9014,388.8986,-1.5128,210.0903,-24.6212,105.3114,0.673,103.2712,-20.7605,66.2015,0.7937,70.4875,-14.2362,50.9769,-0.3059,52.6714,-10.6103,38.0678,456.3647,1002952.625,135.085,male
